Item.Code,Crops
221,"Almonds, with shell"
711,"Anise, badian, fennel, corian."
515,Apples
526,Apricots
366,Artichokes
367,Asparagus
572,Avocados
486,Bananas
44,Barley
176,"Beans, dry"
414,"Beans, green"
558,Berries Nes
552,Blueberries
181,"Broad beans, horse beans, dry"
89,Buckwheat
358,Cabbages and other brassicas
101,Canary seed
461,Carobs
426,Carrots and turnips
217,"Cashew nuts, with shell"
125,Cassava
393,Cauliflowers and broccoli
108,"Cereals, nes"
531,Cherries
220,Chestnuts
191,Chick peas
459,Chicory roots
689,"Chillies and peppers, dry"
401,"Chillies and peppers, green"
693,Cinnamon (canella)
512,"Citrus fruit, nes"
698,Cloves
661,Cocoa beans
249,Coconuts
656,"Coffee, green"
195,"Cow peas, dry"
554,Cranberries
397,Cucumbers and gherkins
550,Currants
577,Dates
399,Eggplants (aubergines)
569,Figs
94,Fonio
619,Fruit Fresh Nes
603,"Fruit, tropical fresh nes"
406,Garlic
720,Ginger
549,Gooseberries
507,Grapefruit (inc. pomelos)
560,Grapes
242,"Groundnuts, with shell"
225,"Hazelnuts, with shell"
677,Hops
263,Karite Nuts (Sheanuts)
592,Kiwi fruit
224,Kolanuts
407,"Leeks, other alliaceous veg"
420,"Leguminous vegetables, nes"
497,Lemons and limes
201,Lentils
372,Lettuce and chicory
210,Lupins
56,Maize
446,"Maize, green"
571,"Mangoes, mangosteens, guavas"
671,Maté
299,Melonseed
79,Millet
103,Mixed grain
449,Mushrooms and truffles
292,Mustard seed
702,"Nutmeg, mace and cardamoms"
234,"Nuts, nes"
75,Oats
254,Oil palm fruit
339,"Oilseeds, Nes"
430,Okra
260,Olives
402,"Onions (inc. shallots), green"
403,"Onions, dry"
490,Oranges
568,Other melons (inc.cantaloupes)
256,Palm kernels
257,Palm oil
600,Papayas
534,Peaches and nectarines
521,Pears
187,"Peas, dry"
417,"Peas, green"
687,Pepper (Piper spp.)
587,Persimmons
197,Pigeon peas
574,Pineapples
223,Pistachios
489,Plantains
536,Plums and sloes
296,Poppy seed
116,Potatoes
211,"Pulses, nes"
394,"Pumpkins, squash and gourds"
523,Quinces
92,Quinoa
270,Rapeseed
547,Raspberries
27,"Rice, paddy"
149,"Roots and Tubers, nes"
71,Rye
280,Safflower seed
289,Sesame seed
83,Sorghum
530,Sour cherries
236,Soybeans
723,"Spices, nes"
373,Spinach
541,"Stone fruit, nes"
544,Strawberries
423,String beans
157,Sugar beet
156,Sugar cane
267,Sunflower seed
122,Sweet potatoes
495,"Tangerines, mandarins, clem."
136,Taro (cocoyam)
667,Tea
388,Tomatoes
97,Triticale
275,Tung Nuts
692,Vanilla
463,Vegetables fresh nes
205,Vetches
222,"Walnuts, with shell"
567,Watermelons
15,Wheat
137,Yams
135,Yautia (cocoyam)
