CNTRY,REG
2,C_Asia
3,E_Euro
4,N_Afr
7,SSA
9,S_Amer
1,E_Euro
10,AUS_NZ
11,EU
52,E_Euro
13,M_East
16,S_Asia
57,E_Euro
255,EU
23,CC_Amer
53,SSA
18,S_Asia
19,S_Amer
80,E_Euro
20,S_Afr
21,S_Amer
27,EU
233,SSA
29,SSA
115,SE_Asia
32,SSA
33,CAN
37,SSA
39,SSA
40,S_Amer
44,S_Amer
45,SSA
46,SSA
48,CC_Amer
107,SSA
98,E_Euro
49,CC_Amer
50,EU
167,EU
116,CHN_MNG
250,SSA
54,EU
72,SSA
56,CC_Amer
58,S_Amer
59,N_Afr
60,CC_Amer
61,SSA
178,SSA
63,EU
238,SSA
66,SE_Asia
67,EU
68,EU
69,S_Amer
74,SSA
75,SSA
73,E_Euro
79,EU
81,SSA
84,EU
89,CC_Amer
90,SSA
175,SSA
91,S_Amer
93,CC_Amer
95,CC_Amer
97,EU
99,EU
100,S_Asia
101,SE_Asia
102,M_East
103,M_East
104,EU
105,M_East
106,EU
109,CC_Amer
110,JPN_KR
112,M_East
108,E_Euro
114,SSA
118,M_East
113,C_Asia
120,SE_Asia
119,EU
121,M_East
122,S_Afr
123,SSA
124,N_Afr
125,EU
126,EU
256,EU
129,SSA
130,SSA
131,SE_Asia
133,SSA
136,SSA
137,S_Afr
138,CC_Amer
141,CHN_MNG
273,E_Euro
143,N_Afr
144,SSA
28,SE_Asia
147,S_Afr
149,S_Asia
150,EU
156,AUS_NZ
157,CC_Amer
158,SSA
159,SSA
162,EU
299,M_East
221,M_East
165,S_Asia
166,CC_Amer
168,SE_Asia
169,S_Amer
170,S_Amer
171,SE_Asia
173,EU
174,EU
177,CC_Amer
179,M_East
117,JPN_KR
146,E_Euro
182,SSA
183,E_Euro
185,E_Euro
184,SSA
194,M_East
195,SSA
272,E_Euro
186,E_Euro
197,SSA
199,EU
198,E_Euro
25,SE_Asia
201,SSA
202,S_Afr
277,SSA
203,EU
38,S_Asia
276,SSA
206,SSA
207,S_Amer
209,S_Afr
210,EU
211,EU
212,M_East
208,C_Asia
216,SE_Asia
154,E_Euro
176,SE_Asia
217,SSA
220,S_Amer
222,N_Afr
223,M_East
213,C_Asia
226,SSA
230,E_Euro
225,M_East
229,EU
215,SSA
231,US
234,S_Amer
235,C_Asia
155,SE_Asia
236,S_Amer
237,SE_Asia
205,SSA
249,M_East
251,SSA
181,SSA
96,CHN_MNG
128,CHN_MNG
41,CHN_MNG
214,CHN_MNG
